"Medal","Year","NOC","count"
"Bronze",1896,"AUT",2
"Bronze",1896,"DEN",3
"Bronze",1896,"FRA",2
"Bronze",1896,"GBR",2
"Bronze",1896,"GER",2
"Bronze",1896,"GRE",22
"Bronze",1896,"HUN",3
"Bronze",1896,"USA",2
"Bronze",1896,"ZZX",2
"Bronze",1900,"AUS",3
"Bronze",1900,"AUT",3
"Bronze",1900,"BEL",15
"Bronze",1900,"BOH",1
"Bronze",1900,"CAN",1
"Bronze",1900,"DEN",2
"Bronze",1900,"FRA",53
"Bronze",1900,"GBR",10
"Bronze",1900,"GER",10
"Bronze",1900,"HUN",2
"Bronze",1900,"NED",15
"Bronze",1900,"NOR",3
"Bronze",1900,"SUI",1
"Bronze",1900,"SWE",1
"Bronze",1900,"USA",14
"Bronze",1900,"ZZX",8
"Bronze",1904,"AUT",1
"Bronze",1904,"CUB",3
"Bronze",1904,"GER",5
"Bronze",1904,"GRE",1
"Bronze",1904,"HUN",1
"Bronze",1904,"SUI",1
"Bronze",1904,"USA",111
"Bronze",1908,"ANZ",2
"Bronze",1908,"AUT",1
"Bronze",1908,"BEL",6
"Bronze",1908,"BOH",5
"Bronze",1908,"CAN",26
"Bronze",1908,"DEN",3
"Bronze",1908,"FIN",27
"Bronze",1908,"FRA",21
"Bronze",1908,"GBR",68
"Bronze",1908,"GER",7
"Bronze",1908,"HUN",5
"Bronze",1908,"NED",11
"Bronze",1908,"NOR",3
"Bronze",1908,"SWE",11
"Bronze",1908,"USA",15
"Bronze",1912,"ANZ",3
"Bronze",1912,"AUT",5
"Bronze",1912,"BEL",9
"Bronze",1912,"CAN",3
"Bronze",1912,"DEN",34
"Bronze",1912,"FIN",22
"Bronze",1912,"FRA",5
"Bronze",1912,"GBR",58
"Bronze",1912,"GER",23
"Bronze",1912,"GRE",1
"Bronze",1912,"HUN",3
"Bronze",1912,"ITA",2
"Bronze",1912,"NED",22
"Bronze",1912,"NOR",29
"Bronze",1912,"RU1",9
"Bronze",1912,"SWE",25
"Bronze",1912,"USA",31
"Bronze",1920,"AUS",1
"Bronze",1920,"BEL",65
"Bronze",1920,"BRA",5
"Bronze",1920,"CAN",3
"Bronze",1920,"DEN",1
"Bronze",1920,"FIN",17
"Bronze",1920,"FRA",55
"Bronze",1920,"GBR",17
"Bronze",1920,"ITA",7
"Bronze",1920,"NED",24
"Bronze",1920,"NOR",27
"Bronze",1920,"NZL",1
"Bronze",1920,"RSA",6
"Bronze",1920,"SUI",21
"Bronze",1920,"SWE",57
"Bronze",1920,"TCH",10
"Bronze",1920,"USA",38
"Bronze",1924,"ARG",2
"Bronze",1924,"AUS",2
"Bronze",1924,"AUT",1
"Bronze",1924,"BEL",6
"Bronze",1924,"CAN",1
"Bronze",1924,"DEN",2
"Bronze",1924,"EST",4
"Bronze",1924,"FIN",15
"Bronze",1924,"FRA",20
"Bronze",1924,"GBR",20
"Bronze",1924,"HAI",7
"Bronze",1924,"HUN",8
"Bronze",1924,"ITA",21
"Bronze",1924,"JPN",1
"Bronze",1924,"NED",17
"Bronze",1924,"NOR",3
"Bronze",1924,"NZL",1
"Bronze",1924,"POL",1
"Bronze",1924,"POR",3
"Bronze",1924,"ROU",23
"Bronze",1924,"RSA",1
"Bronze",1924,"SUI",21
"Bronze",1924,"SWE",49
"Bronze",1924,"TCH",5
"Bronze",1924,"USA",51
"Bronze",1928,"ARG",5
"Bronze",1928,"AUS",1
"Bronze",1928,"AUT",2
"Bronze",1928,"BEL",4
"Bronze",1928,"CAN",21
"Bronze",1928,"DEN",3
"Bronze",1928,"EGY",1
"Bronze",1928,"EST",6
"Bronze",1928,"FIN",9
"Bronze",1928,"FRA",13
"Bronze",1928,"GBR",24
"Bronze",1928,"GER",39
"Bronze",1928,"ITA",31
"Bronze",1928,"JPN",1
"Bronze",1928,"NED",6
"Bronze",1928,"NOR",1
"Bronze",1928,"PHI",1
"Bronze",1928,"POL",14
"Bronze",1928,"RSA",5
"Bronze",1928,"SUI",5
"Bronze",1928,"SWE",21
"Bronze",1928,"TCH",2
"Bronze",1928,"USA",17
"Bronze",1928,"YUG",10
"Bronze",1932,"AUS",1
"Bronze",1932,"AUT",3
"Bronze",1932,"CAN",23
"Bronze",1932,"DEN",4
"Bronze",1932,"ESP",1
"Bronze",1932,"FIN",16
"Bronze",1932,"FRA",6
"Bronze",1932,"GBR",14
"Bronze",1932,"GER",5
"Bronze",1932,"HUN",8
"Bronze",1932,"ITA",18
"Bronze",1932,"JPN",4
"Bronze",1932,"PHI",3
"Bronze",1932,"POL",14
"Bronze",1932,"RSA",3
"Bronze",1932,"SWE",12
"Bronze",1932,"TCH",1
"Bronze",1932,"URU",1
"Bronze",1932,"USA",59
"Bronze",1936,"ARG",4
"Bronze",1936,"AUS",1
"Bronze",1936,"AUT",4
"Bronze",1936,"BEL",12
"Bronze",1936,"CAN",9
"Bronze",1936,"DEN",3
"Bronze",1936,"EGY",2
"Bronze",1936,"EST",3
"Bronze",1936,"FIN",13
"Bronze",1936,"FRA",18
"Bronze",1936,"GBR",8
"Bronze",1936,"GER",59
"Bronze",1936,"HUN",16
"Bronze",1936,"ITA",5
"Bronze",1936,"JPN",8
"Bronze",1936,"LAT",1
"Bronze",1936,"MEX",16
"Bronze",1936,"NED",21
"Bronze",1936,"NOR",15
"Bronze",1936,"PHI",1
"Bronze",1936,"POL",4
"Bronze",1936,"POR",3
"Bronze",1936,"SUI",24
"Bronze",1936,"SWE",16
"Bronze",1936,"TUR",1
"Bronze",1936,"USA",15
"Bronze",1948,"ARG",1
"Bronze",1948,"AUS",5
"Bronze",1948,"AUT",3
"Bronze",1948,"BEL",8
"Bronze",1948,"BRA",12
"Bronze",1948,"CAN",5
"Bronze",1948,"DEN",27
"Bronze",1948,"EGY",1
"Bronze",1948,"FIN",7
"Bronze",1948,"FRA",21
"Bronze",1948,"GBR",11
"Bronze",1948,"HUN",21
"Bronze",1948,"IRI",1
"Bronze",1948,"ITA",12
"Bronze",1948,"KOR",2
"Bronze",1948,"MEX",4
"Bronze",1948,"NED",32
"Bronze",1948,"NOR",11
"Bronze",1948,"PAN",2
"Bronze",1948,"POL",1
"Bronze",1948,"POR",3
"Bronze",1948,"PUR",1
"Bronze",1948,"RSA",1
"Bronze",1948,"SUI",5
"Bronze",1948,"SWE",29
"Bronze",1948,"TCH",3
"Bronze",1948,"TUR",2
"Bronze",1948,"URU",2
"Bronze",1948,"USA",35
"Bronze",1952,"ARG",2
"Bronze",1952,"AUS",11
"Bronze",1952,"AUT",2
"Bronze",1952,"BRA",2
"Bronze",1952,"BUL",1
"Bronze",1952,"DEN",5
"Bronze",1952,"EGY",1
"Bronze",1952,"FIN",29
"Bronze",1952,"FRA",16
"Bronze",1952,"GBR",26
