"Year","NOC","Bronze","Gold","Silver"
1896,"AUT",2,2,1
1896,"DEN",3,1,2
1896,"FRA",2,5,4
1896,"GBR",2,2,3
1896,"GER",2,26,5
1896,"GRE",22,10,20
1896,"HUN",3,2,1
1896,"USA",2,11,7
1896,"ZZX",2,2,2
1900,"AUS",3,2,0
1900,"AUT",3,0,3
1900,"BEL",15,5,19
1900,"BOH",1,0,1
1900,"CAN",1,1,0
1900,"DEN",2,1,3
1900,"FRA",53,46,86
1900,"GBR",10,48,20
1900,"GER",10,11,19
1900,"HUN",2,1,2
1900,"NED",15,0,5
1900,"NOR",3,0,6
1900,"SUI",1,13,1
1900,"SWE",1,0,0
1900,"USA",14,27,14
1900,"ZZX",8,18,8
1904,"AUT",1,0,0
1904,"CUB",3,4,2
1904,"GER",5,4,4
1904,"GRE",1,1,0
1904,"HUN",1,2,1
1904,"SUI",1,1,0
1904,"USA",111,146,137
1908,"ANZ",2,15,2
1908,"AUT",1,0,0
1908,"BEL",6,1,24
1908,"BOH",5,0,0
1908,"CAN",26,17,8
1908,"DEN",3,0,12
1908,"FIN",27,1,1
1908,"FRA",21,9,5
1908,"GBR",68,144,135
1908,"GER",7,4,11
1908,"HUN",5,6,7
1908,"NED",11,0,0
1908,"NOR",3,7,34
1908,"SWE",11,69,18
1908,"USA",15,34,14
1912,"ANZ",3,5,2
1912,"AUT",5,0,9
1912,"BEL",9,9,1
1912,"CAN",3,3,2
1912,"DEN",34,5,45
1912,"FIN",22,9,36
1912,"FRA",5,10,10
1912,"GBR",58,44,58
1912,"GER",23,10,19
1912,"GRE",1,1,0
1912,"HUN",3,10,17
1912,"ITA",2,18,1
1912,"NED",22,0,0
1912,"NOR",29,41,6
1912,"RU1",9,0,5
1912,"SWE",25,86,62
1912,"USA",31,45,25
1920,"AUS",1,0,5
1920,"BEL",65,57,66
1920,"BRA",5,1,1
1920,"CAN",3,10,3
1920,"DEN",1,30,44
1920,"FIN",17,18,14
1920,"FRA",55,13,73
1920,"GBR",17,55,35
1920,"ITA",7,68,9
1920,"NED",24,14,10
1920,"NOR",27,58,56
1920,"NZL",1,0,0
1920,"RSA",6,3,12
1920,"SUI",21,6,2
1920,"SWE",57,53,36
1920,"TCH",10,0,0
1920,"USA",38,110,45
1924,"ARG",2,6,3
1924,"AUS",2,3,5
1924,"AUT",1,0,3
1924,"BEL",6,3,29
1924,"CAN",1,0,19
1924,"DEN",2,2,8
1924,"EST",4,1,1
1924,"FIN",15,24,13
1924,"FRA",20,39,63
1924,"GBR",20,17,29
1924,"HAI",7,0,0
1924,"HUN",8,2,10
1924,"ITA",21,25,5
1924,"JPN",1,0,0
1924,"NED",17,8,1
1924,"NOR",3,16,7
1924,"NZL",1,0,0
1924,"POL",1,0,4
1924,"POR",3,0,0
1924,"ROU",23,0,0
1924,"RSA",1,1,1
1924,"SUI",21,13,31
1924,"SWE",49,6,25
1924,"TCH",5,1,4
1924,"USA",51,110,37
1928,"ARG",5,3,24
1928,"AUS",1,1,2
1928,"AUT",2,2,0
1928,"BEL",4,0,1
1928,"CAN",21,7,5
1928,"DEN",3,5,5
1928,"EGY",1,2,1
1928,"EST",6,2,1
1928,"FIN",9,8,8
1928,"FRA",13,7,16
1928,"GBR",24,6,25
1928,"GER",39,20,13
1928,"ITA",31,18,21
1928,"JPN",1,2,5
1928,"NED",6,20,39
1928,"NOR",1,4,4
1928,"PHI",1,0,0
1928,"POL",14,1,3
1928,"RSA",5,1,0
