"Medal","Year","NOC","count"
"Gold",1896,"USA",11
"Gold",1900,"USA",27
"Gold",1904,"USA",146
"Gold",1908,"USA",34
"Gold",1912,"USA",45
"Gold",1920,"USA",110
"Gold",1924,"USA",110
"Gold",1928,"USA",43
"Gold",1932,"USA",78
"Gold",1936,"USA",51
"Gold",1948,"USA",83
"Gold",1952,"USA",79
"Gold",1956,"USA",61
"Gold",1960,"USA",68
"Gold",1964,"USA",78
"Gold",1968,"USA",83
"Gold",1972,"USA",53
"Gold",1976,"USA",63
"Gold",1984,"USA",168
"Gold",1988,"USA",77
"Gold",1992,"USA",89
"Gold",1996,"USA",160
"Gold",2000,"USA",130
"Gold",2004,"USA",116
"Gold",2008,"USA",125
